date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag,same day year ago
20200329,3/29/2020,7,29,89,Sunday,Sun,n,13,13,3/23/2020,20200323,3,3,March,Mar,1,2020,202003,9,3,2020,n,3/29/2019
20200330,3/30/2020,1,30,90,Monday,Mon,y,14,14,3/30/2020,20200330,3,3,March,Mar,1,2020,202003,9,3,2020,n,3/30/2019
20200331,3/31/2020,2,31,91,Tuesday,Tue,y,14,14,3/30/2020,20200330,3,3,March,Mar,1,2020,202003,9,3,2020,m,3/31/2019
20200401,4/1/2020,3,1,92,Wednesday,Wed,y,14,14,3/30/2020,20200330,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/1/2019
20200402,4/2/2020,4,2,93,Thursday,Thu,y,14,14,3/30/2020,20200330,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/2/2019
20200403,4/3/2020,5,3,94,Friday,Fri,y,14,14,3/30/2020,20200330,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/3/2019
20200404,4/4/2020,6,4,95,Saturday,Sat,n,14,14,3/30/2020,20200330,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/4/2019
20200405,4/5/2020,7,5,96,Sunday,Sun,n,14,14,3/30/2020,20200330,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/5/2019
20200406,4/6/2020,1,6,97,Monday,Mon,y,15,15,4/6/2020,20200406,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/6/2019
20200407,4/7/2020,2,7,98,Tuesday,Tue,y,15,15,4/6/2020,20200406,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/7/2019
20200408,4/8/2020,3,8,99,Wednesday,Wed,y,15,15,4/6/2020,20200406,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/8/2019
20200409,4/9/2020,4,9,100,Thursday,Thu,y,15,15,4/6/2020,20200406,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/9/2019
20200410,4/10/2020,5,10,101,Friday,Fri,y,15,15,4/6/2020,20200406,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/10/2019
20200411,4/11/2020,6,11,102,Saturday,Sat,n,15,15,4/6/2020,20200406,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/11/2019
20200412,4/12/2020,7,12,103,Sunday,Sun,n,15,15,4/6/2020,20200406,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/12/2019
20200413,4/13/2020,1,13,104,Monday,Mon,y,16,16,4/13/2020,20200413,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/13/2019
20200414,4/14/2020,2,14,105,Tuesday,Tue,y,16,16,4/13/2020,20200413,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/14/2019
20200415,4/15/2020,3,15,106,Wednesday,Wed,y,16,16,4/13/2020,20200413,4,4,April,Apr,2,2020,202004,10,4,2020,n,4/15/2019
